Tipo RPAREN Valor )                Linea 31               Posicion 827 
Tipo SEMI Valor ;                Linea 31               Posicion 828 
Tipo STRING Valor String           Linea 32               Posicion 842 
Tipo ID   Valor palabra          Linea 32               Posicion 849 
Tipo EQUALS Valor =                Linea 32               Posicion 857 
Tipo STRING_LITERAL Valor "Hola mundo"     Linea 32               Posicion 859 
Tipo SEMI Valor ;                Linea 32               Posicion 871 
Tipo RBRACE Valor }                Linea 33               Posicion 881 
Tipo ELSE Valor else             Linea 33               Posicion 883 
Tipo IF   Valor if               Linea 33               Posicion 888 
Tipo LPAREN Valor (                Linea 33               Posicion 891 
Tipo ID   Valor puntaje          Linea 33               Posicion 892 
Tipo GE   Valor >=               Linea 33               Posicion 900 
Tipo NUMBER Valor 70               Linea 33               Posicion 903 
Tipo RPAREN Valor )                Linea 33               Posicion 905 
Tipo LBRACE Valor {                Linea 33               Posicion 907 
Tipo SYSTEM Valor System           Linea 34               Posicion 921 
Tipo PUNTO Valor .                Linea 34               Posicion 927 
Tipo OUT  Valor out              Linea 34               Posicion 928 
Tipo PUNTO Valor .                Linea 34               Posicion 931 
Tipo PRINTLN Valor println          Linea 34               Posicion 932 
Tipo LPAREN Valor (                Linea 34               Posicion 939 
Tipo STRING_LITERAL Valor "Buen puntaje."  Linea 34               Posicion 940 
Tipo RPAREN Valor )                Linea 34               Posicion 955 
Tipo SEMI Valor ;                Linea 34               Posicion 956 
Tipo RBRACE Valor }                Linea 35               Posicion 966 
Tipo ELSE Valor else             Linea 35               Posicion 968 
Tipo LBRACE Valor {                Linea 35               Posicion 973 
Tipo SYSTEM Valor System           Linea 36               Posicion 987 
Tipo PUNTO Valor .                Linea 36               Posicion 993 
Tipo OUT  Valor out              Linea 36               Posicion 994 
Tipo PUNTO Valor .                Linea 36               Posicion 997 
Tipo PRINTLN Valor println          Linea 36               Posicion 998 
Tipo LPAREN Valor (                Linea 36               Posicion 1005
Tipo STRING_LITERAL Valor "Puntaje regular." Linea 36               Posicion 1006
Tipo RPAREN Valor )                Linea 36               Posicion 1024
Tipo SEMI Valor ;                Linea 36               Posicion 1025
Tipo RBRACE Valor }                Linea 37               Posicion 1035
Tipo RBRACE Valor }                Linea 38               Posicion 1041
Tipo RBRACE Valor }                Linea 39               Posicion 1043
